Validation,Model,accuracy,balanced_accuracy,macro_f1,weighted_f1,log_loss,brier_score,mean_entropy,mean_confidence,mean_margin
BlindWell,RandomForest,0.9265492337115622,0.803083558014499,0.7875841276259589,0.9240234652449587,0.2701939481647198,0.12878649713316695,0.3531677226225535,0.8714818060398102,0.7775157590707144
BlindWell,ProbabilisticEnsemble,0.9218914759836717,0.8164405614548631,0.7853171305364106,0.9212350430159374,0.2560392612218349,0.12616173977770825,0.2644276060163975,0.9071410199006399,0.8373587131500244
BlindWell,HybridFusion,0.9074199482646316,0.7904874955216123,0.7562466488194094,0.9049949241078514,0.27838856630539793,0.14129753206895626,0.32923833032449085,0.8829106191794077,0.7973922987778982
BlindWell,XGBoost,0.9257833345596711,0.8253052453050117,0.7556784798744792,0.925376522776281,0.267502619808595,0.11958546264628274,0.12454070523381233,0.9566636681556702,0.9195016721884409
BlindWell,GradientBoosting,0.920170276162434,0.8105130811336463,0.7411129227314683,0.9198340298362946,0.31874531769823383,0.12939496768806458,0.13112874825795492,0.9547176460425059,0.9170624415079752
BlindWell,CNN_BiLSTM_Attention,0.8178164305669332,0.6372726203942495,0.5963298961209503,0.8149510010510963,0.5706831321918999,0.2636171425908473,0.4019015332063039,0.8619359036286672,0.769363135099411
BlindWell,CNN_BiLSTM,0.7931519228684021,0.6158129464669927,0.5784676914110343,0.7950744077350534,0.6577877465098048,0.29004328376729566,0.3788488159577052,0.8667820394039154,0.774130642414093
BlindWell,CNN,0.6145443653473561,0.50864685745823,0.4007081989647118,0.635106701591594,1.274015388918582,0.569745796845463,1.334032302101453,0.46504661937554675,0.3196063134819269
RandomSplit,HybridFusion,0.9674085850556439,0.8038855000851405,0.8002263445381127,0.9669662580676174,0.11979739452054185,0.058753218484807815,0.1957026720046997,0.9362432956695557,0.887894332408905
RandomSplit,ProbabilisticEnsemble,0.9626391096979332,0.7925024674242832,0.7918397032251706,0.9621789069567745,0.10561378890325888,0.05458389293256047,0.09309325367212296,0.9695366621017456,0.9442705512046814
RandomSplit,XGBoost,0.9634340222575517,0.7943136907868553,0.7915753128723582,0.9630254347237143,0.1027069576171321,0.05439625132743245,0.08349008858203888,0.9728496670722961,0.95001620054245
RandomSplit,RandomForest,0.9642289348171701,0.7856592502124187,0.7915545060454503,0.963223275144599,0.13590384682114628,0.06206630595381601,0.21163149178028107,0.9284005165100098,0.87530118227005
RandomSplit,GradientBoosting,0.9602543720190779,0.7896213030333856,0.7855828825935596,0.9596228933466543,0.12424678192624493,0.06108577689834132,0.09121587872505188,0.9702823758125305,0.945610761642456
RandomSplit,CNN_BiLSTM_Attention,0.9308426073131956,0.7450679385711806,0.7305060967189075,0.9315380687239817,0.2058478875775607,0.10781616106013453,0.25907081365585327,0.9105345010757446,0.8470811247825623
RandomSplit,CNN_BiLSTM,0.9228934817170111,0.7380982416320541,0.7251913901585371,0.923514305994355,0.21511843499203895,0.11234392380092849,0.17328715324401855,0.9385229349136353,0.8886337280273438
RandomSplit,CNN,0.9173290937996821,0.7165977504111168,0.7092610240643522,0.9175394000617922,0.22202755353355583,0.1201346704378834,0.22646380960941315,0.9107258319854736,0.843055784702301
