accuracy,balanced_accuracy,macro_f1,weighted_f1,log_loss,brier_score,mean_entropy,mean_confidence,mean_margin,thickness_mae,thickness_rmse,contact_mae,transition_count_error,accuracy_at_60,macro_f1_at_60,accuracy_at_70,macro_f1_at_70,accuracy_at_80,macro_f1_at_80,accuracy_at_90,macro_f1_at_90,accuracy_at_100,macro_f1_at_100,Validation,SplitLabel,Model,n_samples,geo_strength
0.9284578696343402,0.8564727687111948,0.8517981278646528,0.9256642832777864,0.289304430161136,0.12526588625955104,0.0937962457537651,0.968481719493866,0.9408209323883057,2.2857142857142856,3.585685828003181,0.5199335548172758,13.0,0.9894179894179894,0.7028571428571428,0.9841269841269841,0.7012987012987013,0.9761904761904762,0.7321428571428571,0.9594356261022927,0.745264339337101,0.9284578696343402,0.7301126810268453,BlindWell,Blind_Well_01,XGBoost,629,
0.9236883942766295,0.8431192166479654,0.8395027933155634,0.920806311150699,0.2541145507313168,0.12326968749970384,0.11914227157831192,0.960498034954071,0.9286494255065918,2.4285714285714284,3.6351458999998494,0.5019132653061225,7.0,1.0,0.7142857142857143,0.9909297052154195,0.7047619047619048,0.9801587301587301,0.7402151558297738,0.9576719576719577,0.7511099864468426,0.9236883942766295,0.7195738228419115,BlindWell,Blind_Well_01,GradientBoosting,629,
0.9220985691573926,0.8287147502688855,0.8359889149754719,0.9188273326567478,0.25128848810347915,0.1237991176156761,0.2684329152107239,0.9076785445213318,0.8368141055107117,3.5714285714285716,4.743416490252569,0.5829899267399268,17.0,0.9841269841269841,0.7016806722689076,0.9795918367346939,0.6967443515388722,0.9722222222222222,0.6917009533004154,0.9559082892416225,0.733354469826673,0.9220985691573926,0.7165619271218331,BlindWell,Blind_Well_01,RandomForest,629,
0.9220985691573926,0.8287147502688855,0.8359889149754719,0.9188273326567478,0.25128848810347915,0.12379911761563094,0.2684329152107239,0.9076785445213318,0.8368141055107117,3.5714285714285716,4.743416490252569,0.5829899267399268,17.0,0.9841269841269841,0.7016806722689076,0.9795918367346939,0.6967443515388722,0.9722222222222222,0.6917009533004154,0.9559082892416225,0.733354469826673,0.9220985691573926,0.7165619271218331,BlindWell,Blind_Well_01,ProbabilisticEnsemble,629,
0.9220985691573926,0.8287147502688855,0.8359889149754719,0.9188273326567478,0.25128848810347915,0.12379911761558579,0.2684329152107239,0.9076785445213318,0.8368141055107117,3.5714285714285716,4.743416490252569,0.5829899267399268,17.0,0.9841269841269841,0.7016806722689076,0.9795918367346939,0.6967443515388722,0.9722222222222222,0.6917009533004154,0.9559082892416225,0.733354469826673,0.9220985691573926,0.7165619271218331,BlindWell,Blind_Well_01,HybridFusion,629,
0.918918918918919,0.8254122662730938,0.830727120852944,0.9157560830738176,0.23307592093549057,0.11727424799842069,0.18867090344429016,0.9351350665092468,0.882439136505127,3.4285714285714284,4.613644360558612,0.6190476190476191,20.0,0.9894179894179894,0.7047619047619048,0.9841269841269841,0.7012987012987013,0.9821428571428571,0.6971337552778175,0.9629629629629629,0.7269192134337382,0.918918918918919,0.712051817873952,BlindWell,Blind_Well_01,GeoConstrainedEnsemble,629,0.1
0.918918918918919,0.8254122662730938,0.830727120852944,0.9157560830738176,0.23307592093549057,0.11727424799842069,0.18867090344429016,0.9351350665092468,0.882439136505127,3.4285714285714284,4.613644360558612,0.6190476190476191,20.0,0.9894179894179894,0.7047619047619048,0.9841269841269841,0.7012987012987013,0.9821428571428571,0.6971337552778175,0.9629629629629629,0.7269192134337382,0.918918918918919,0.712051817873952,BlindWell,Blind_Well_01,GeoConstrainedHybrid,629,0.1
0.8569157392686805,0.6925577008493503,0.6530996970503629,0.8375541210115768,0.45231414181955587,0.22715064433504667,0.26496657729148865,0.9110836386680603,0.8460846543312073,7.285714285714286,11.051825964195109,10.814732142857142,40.0,0.9973544973544973,0.42424242424242425,0.9297052154195011,0.39135654261704683,0.9067460317460317,0.5620566425444474,0.8853615520282186,0.5925077622858532,0.8569157392686805,0.5597997403288825,BlindWell,Blind_Well_01,CNN_BiLSTM,629,
0.848966613672496,0.6610969725687322,0.6249151293311351,0.8235597635593394,0.48532922033978776,0.2418216963875781,0.27951398491859436,0.899372935295105,0.8320191502571106,11.428571428571429,14.385012041307835,15.403003246753247,45.0,0.9841269841269841,0.2670807453416149,0.9387755102040817,0.3956043956043956,0.9047619047619048,0.5150525413929784,0.8765432098765432,0.5441465048116949,0.848966613672496,0.5356415394266872,BlindWell,Blind_Well_01,CNN,629,
0.809220985691574,0.6599758817576403,0.5884384628216381,0.7967726860282883,0.5250885167978375,0.27191600607021277,0.4189050793647766,0.8652900457382202,0.7784014344215393,13.714285714285714,14.957081457098699,7.795535714285714,41.0,0.9444444444444444,0.39486356340288925,0.9115646258503401,0.5307612095933264,0.9027777777777778,0.5136222800509361,0.8606701940035273,0.5330212693084668,0.809220985691574,0.5043758252756898,BlindWell,Blind_Well_01,CNN_BiLSTM_Attention,629,
0.8956884561891516,0.7319552717885686,0.7304364030521295,0.8769031545902766,0.334672612647432,0.18449915773705255,0.31482917070388794,0.8883851170539856,0.7976434826850891,8.571428571428571,11.087315790062599,1.240270935960591,23.0,0.9305555555555556,0.6973443223443223,0.9146825396825397,0.6704078393145643,0.9201388888888888,0.6715631390556924,0.9197530864197531,0.6641927836753873,0.8956884561891516,0.6260883454732539,BlindWell,Blind_Well_02,GeoConstrainedEnsemble,719,0.1
