Validation,Model,SplitLabel,Coverage,Accuracy,MacroF1
BlindWell,GeoConstrainedEnsemble,Blind_Well_02,0.9,0.9197530864197531,0.6641927836753873
BlindWell,GeoConstrainedEnsemble,Blind_Well_02,0.95,0.9108187134502924,0.648396261262725
BlindWell,GeoConstrainedEnsemble,Blind_Well_02,1.0,0.8956884561891516,0.6260883454732539
BlindWell,HybridFusion,Blind_Well_02,0.5,0.9805555555555555,0.42709432369698247
BlindWell,HybridFusion,Blind_Well_02,0.55,0.9772727272727273,0.6767832306775282
BlindWell,HybridFusion,Blind_Well_02,0.6,0.9629629629629629,0.6758914554832922
BlindWell,HybridFusion,Blind_Well_02,0.65,0.9487179487179487,0.6867298636444537
BlindWell,HybridFusion,Blind_Well_02,0.7,0.9404761904761905,0.6893977096911186
BlindWell,HybridFusion,Blind_Well_02,0.75,0.9407407407407408,0.6932688000302993
BlindWell,HybridFusion,Blind_Well_02,0.8,0.9357638888888888,0.6805693231488564
BlindWell,HybridFusion,Blind_Well_02,0.8500000000000001,0.9183006535947712,0.6388396184241921
BlindWell,HybridFusion,Blind_Well_02,0.9,0.8904320987654321,0.6004667313559792
BlindWell,HybridFusion,Blind_Well_02,0.95,0.8757309941520468,0.587546405351965
BlindWell,HybridFusion,Blind_Well_02,1.0,0.866481223922114,0.5847113570428999
BlindWell,GeoConstrainedHybrid,Blind_Well_02,0.5,0.9805555555555555,0.42709432369698247
BlindWell,GeoConstrainedHybrid,Blind_Well_02,0.55,0.9772727272727273,0.6767832306775282
BlindWell,GeoConstrainedHybrid,Blind_Well_02,0.6,0.9629629629629629,0.6758914554832922
BlindWell,GeoConstrainedHybrid,Blind_Well_02,0.65,0.9487179487179487,0.6867298636444537
BlindWell,GeoConstrainedHybrid,Blind_Well_02,0.7,0.9404761904761905,0.6893977096911186
BlindWell,GeoConstrainedHybrid,Blind_Well_02,0.75,0.9407407407407408,0.6932688000302993
BlindWell,GeoConstrainedHybrid,Blind_Well_02,0.8,0.9357638888888888,0.6805693231488564
BlindWell,GeoConstrainedHybrid,Blind_Well_02,0.8500000000000001,0.9183006535947712,0.6388396184241921
BlindWell,GeoConstrainedHybrid,Blind_Well_02,0.9,0.8904320987654321,0.6004667313559792
BlindWell,GeoConstrainedHybrid,Blind_Well_02,0.95,0.8757309941520468,0.587546405351965
BlindWell,GeoConstrainedHybrid,Blind_Well_02,1.0,0.866481223922114,0.5847113570428999
BlindWell,ProbabilisticEnsemble,Blind_Well_03,0.5,1.0,0.42857142857142855
BlindWell,ProbabilisticEnsemble,Blind_Well_03,0.55,1.0,0.42857142857142855
BlindWell,ProbabilisticEnsemble,Blind_Well_03,0.6,1.0,0.5714285714285714
BlindWell,ProbabilisticEnsemble,Blind_Well_03,0.65,1.0,0.5714285714285714
BlindWell,ProbabilisticEnsemble,Blind_Well_03,0.7,1.0,0.8571428571428571
BlindWell,ProbabilisticEnsemble,Blind_Well_03,0.75,1.0,0.8571428571428571
BlindWell,ProbabilisticEnsemble,Blind_Well_03,0.8,0.9978070175438597,0.8545905433324251
BlindWell,ProbabilisticEnsemble,Blind_Well_03,0.8500000000000001,0.9896694214876033,0.8445710768002129
BlindWell,ProbabilisticEnsemble,Blind_Well_03,0.9,0.9707602339181286,0.8003308353330807
BlindWell,ProbabilisticEnsemble,Blind_Well_03,0.95,0.9519408502772643,0.7714512293712062
BlindWell,ProbabilisticEnsemble,Blind_Well_03,1.0,0.9226713532513181,0.7415870566928332
BlindWell,GeoConstrainedEnsemble,Blind_Well_03,0.5,1.0,0.42857142857142855
BlindWell,GeoConstrainedEnsemble,Blind_Well_03,0.55,1.0,0.42857142857142855
BlindWell,GeoConstrainedEnsemble,Blind_Well_03,0.6,1.0,0.5714285714285714
BlindWell,GeoConstrainedEnsemble,Blind_Well_03,0.65,1.0,0.5714285714285714
BlindWell,GeoConstrainedEnsemble,Blind_Well_03,0.7,1.0,0.8571428571428571
BlindWell,GeoConstrainedEnsemble,Blind_Well_03,0.75,1.0,0.8571428571428571
BlindWell,GeoConstrainedEnsemble,Blind_Well_03,0.8,0.9978070175438597,0.8545905433324251
BlindWell,GeoConstrainedEnsemble,Blind_Well_03,0.8500000000000001,0.9896694214876033,0.8445710768002129
BlindWell,GeoConstrainedEnsemble,Blind_Well_03,0.9,0.9707602339181286,0.8003308353330807
BlindWell,GeoConstrainedEnsemble,Blind_Well_03,0.95,0.9519408502772643,0.7714512293712062
BlindWell,GeoConstrainedEnsemble,Blind_Well_03,1.0,0.9226713532513181,0.7415870566928332
BlindWell,HybridFusion,Blind_Well_03,0.5,1.0,0.42857142857142855
BlindWell,HybridFusion,Blind_Well_03,0.55,1.0,0.42857142857142855
BlindWell,HybridFusion,Blind_Well_03,0.6,1.0,0.5714285714285714
BlindWell,HybridFusion,Blind_Well_03,0.65,1.0,0.5714285714285714
BlindWell,HybridFusion,Blind_Well_03,0.7,1.0,0.8571428571428571
BlindWell,HybridFusion,Blind_Well_03,0.75,1.0,0.8571428571428571
BlindWell,HybridFusion,Blind_Well_03,0.8,0.9978070175438597,0.8545905433324251
BlindWell,HybridFusion,Blind_Well_03,0.8500000000000001,0.9896694214876033,0.8445710768002129
BlindWell,HybridFusion,Blind_Well_03,0.9,0.9707602339181286,0.8003308353330807
BlindWell,HybridFusion,Blind_Well_03,0.95,0.9519408502772643,0.7714512293712062
BlindWell,HybridFusion,Blind_Well_03,1.0,0.9226713532513181,0.7415870566928332
BlindWell,GeoConstrainedHybrid,Blind_Well_03,0.5,1.0,0.42857142857142855
BlindWell,GeoConstrainedHybrid,Blind_Well_03,0.55,1.0,0.42857142857142855
BlindWell,GeoConstrainedHybrid,Blind_Well_03,0.6,1.0,0.5714285714285714
BlindWell,GeoConstrainedHybrid,Blind_Well_03,0.65,1.0,0.5714285714285714
BlindWell,GeoConstrainedHybrid,Blind_Well_03,0.7,1.0,0.8571428571428571
BlindWell,GeoConstrainedHybrid,Blind_Well_03,0.75,1.0,0.8571428571428571
BlindWell,GeoConstrainedHybrid,Blind_Well_03,0.8,0.9978070175438597,0.8545905433324251
BlindWell,GeoConstrainedHybrid,Blind_Well_03,0.8500000000000001,0.9896694214876033,0.8445710768002129
BlindWell,GeoConstrainedHybrid,Blind_Well_03,0.9,0.9707602339181286,0.8003308353330807
BlindWell,GeoConstrainedHybrid,Blind_Well_03,0.95,0.9519408502772643,0.7714512293712062
BlindWell,GeoConstrainedHybrid,Blind_Well_03,1.0,0.9226713532513181,0.7415870566928332
BlindWell,ProbabilisticEnsemble,Blind_Well_04,0.5,1.0,0.5714285714285714
BlindWell,ProbabilisticEnsemble,Blind_Well_04,0.55,1.0,0.5714285714285714
